R_date,Latitude,Longitude,24/04/1995 12:00,24/04/2000 12:00,25/04/2005 12:00,26/04/2010 12:00,27/04/2015 12:00
BA003_A,22.84,90.52,-0.34,-0.24,-0.68,-1.29,-0.81
BA008_A,22.49,90.07,1.36,1.61,1.21,1.48,1.66
BA009_B,22.82,90.21,-0.21,0.14,-0.26,,-0.18
BA010_A,22.83,90.28,0.81,1.41,1.21,,1.31
BA011_A,22.96,90.52,0.25,1.83,0.8,,0.9
BA013_A,22.92,90.26,0.66,1.06,0.96,0.66,0.98
BA014_A,22.93,90.24,0.35,0.85,0.4,,1.84
BA015_B,22.64,89.98,0.45,0.45,0.31,0.76,
BA018_A,22.62,90.07,0.1,0.4,0.15,0.38,0.2
BA025_A,22.37,89.95,0.2,-0.45,-0.7,,-1.42
BA026_A,22.36,89.96,-0.3,-0.01,-0.11,-0.16,
BA027_A,22.37,89.98,1.1,1.1,1.02,,
BA028_B,22.2,90.75,0.58,1.53,1.85,1.09,
BA029_A,22.63,90.75,0.11,0.59,0.39,-0.21,2.59
BO001_B,24.62,89.39,8.06,9.07,9.17,8.15,
BO002_B,24.74,89.58,8.15,9.81,9.11,8.75,
BO003_B,24.89,89.34,,10.57,8.5,8.36,9.28
BO004_B,25.01,89.49,12.99,13.89,13.65,12.9,14.2
BO005_B,25.01,89.54,13,12.64,11.8,,11.88
BO006_B,24.98,89.26,12.04,13.29,13.31,12.54,18.21
BO007_B,25.13,89.06,13.07,13.89,13.3,12.93,12.87
BO008_B,25.23,89.07,14.46,15.57,14.64,13.8,15.15
BO009_B,24.86,89.25,7.7,10.79,9.01,7.39,7.36
BO010_B,24.81,89.08,5.91,6.61,5.96,4.64,2.81
BO011_C,24.89,89.15,8.59,9.46,9.33,8.31,8.52
BO013_B,24.82,89.51,9.44,11.07,10.32,9.85,11.02
BO014_D,24.79,89.26,8.79,9.33,9.1,8,7.93
BO016_C,24.81,89,6.32,7.43,6.81,5.91,
BO017_B,24.93,89.39,10.46,11.24,11.41,10.54,10.75
BO018_B,24.96,89.43,11.37,11.35,11.47,11.84,12.41
BO019_B,24.79,89.36,18.03,,18.2,17.98,17.48
BO020_C,24.89,89.6,10.02,11.41,9.85,10.5,9.35
BO024_B,25.02,89.15,21.75,21.98,21.57,19.98,18.22
BO025_B,25.06,89.32,14.6,15.88,14.94,14.13,14.12
BO026_C,24.94,89.57,10.82,12.06,11.42,,12.1
BO028_B,24.86,89.41,9.42,10.5,10.03,9.35,9.45
BO029_B,24.98,89.12,11.02,11.1,10.95,9.72,7.64
BO030_A,24.77,89.12,6.29,7.18,6.8,5.21,3.48
BO031_B,24.79,89.63,12,12.75,12.05,11.8,13.2
BO033_B,24.87,89.45,10.41,11.75,11.08,10.25,10.97
BO034_B,25.12,89.12,13.28,13.96,13.66,12.51,13.61
BO035_B,24.68,89.38,5.47,8.87,7.47,,9.37
CM001_A,23.79,91.13,1.71,3.36,2.76,1.36,
CM002_A,23.58,91.15,2.07,3.02,2.62,1.72,
CM003_A,23.51,91.05,-2.31,-2.71,0.59,,
CM004_A,23.55,91.11,-2.36,-1.46,-1.06,-5.06,
CM005_B,23.57,91.07,-4.53,-0.38,-2.07,,
CM006_A,23.46,91.23,0.27,0.84,1.18,-1.6,
CM007_A,23.4,91.06,0.44,,3.16,1.35,
CM008_A,23.48,90.91,0.96,1.91,1.51,0.01,
CM009_A,23.25,91.16,2.14,3.29,3.94,2.44,
CM010_A,23.29,91.23,3.97,,,1.82,
CM011_B,23.5,91.2,10.01,9.97,9.76,9.76,
CM012_A,23.96,91.24,0.96,0.78,,-0.24,
CM013_A,23.28,91.29,0.37,-4.13,-1.35,,
CM014_B,23.33,90.9,0.71,1.74,2.15,,
CM015_A,23.3,90.85,1.97,,2.13,1.84,
CM016_A,23.28,90.66,-0.3,0.33,0.63,-0.02,
CM018_B,23.41,90.73,3.62,3.91,3.63,3.4,
CM019_B,23.34,90.75,1.68,2.14,1.86,1.9,
CM020_A,23.44,90.83,2.67,3.69,,,
CM021_A,23.53,90.74,1.5,2.72,2.32,,
CM022_B,23.54,90.73,0.34,1.55,0.7,,
CM024_A,23.85,91.07,1.19,1.89,1.34,1.39,
CM026_A,23.6,91.02,2.15,4.1,4,0.65,
CM028_B,23.2,90.78,1.31,1.53,0.95,1.04,
CM029_A,23.18,91.14,1.58,3.26,1.89,,
CM032_B,23.35,90.83,1.69,1.97,2.02,1.32,
CM033_A,23.61,90.91,1.48,2.18,1.69,1.29,
CM034_A,23.66,90.94,1.22,2.53,2.43,0.45,
CM038_A,23.24,91.1,2.73,4.93,3.43,1.73,
CM039_A,23.27,90.7,7.93,8.33,,,
CM041_A,23.15,90.66,5.97,6.3,6.87,,
CM043_A,23.38,90.9,2.83,1.91,,,
CM045_A,23.51,91.1,1.6,2.82,2.32,0.97,
CM048_A,23.63,90.73,2.14,2.21,2.76,,
CM049_B,23.46,91.13,4.97,7.87,6.82,4.69,
CM052_A,23.58,90.77,1.85,1.84,2.19,1.54,
CM055_A,23.54,91.02,0.03,1.46,0.8,,
CM058_A,23.3,91.03,2.72,3.06,4.54,2.29,
CM059_A,24.17,91.26,4.41,4.61,,3.41,
CM061_A,23.15,90.67,2.08,2.68,2.4,2.05,
CM062_B,23.41,90.68,2.61,2.19,1.79,1.4,
CM065_A,23.51,91.15,-3.65,-1.08,-1.6,-6.83,
CT001_B,21.42,92.04,4.15,4.18,4.16,3.81,
CT002_B,21.51,92.01,5.73,5.9,5.7,,
CT005_B,20.9,92.25,0.93,0.56,-0.66,,
CT015_B,22.75,91.56,4.92,5.4,4.72,2.89,
CT023_B,22.27,92.03,1.6,0.39,0.15,-1.01,
CT024_B,22.22,91.88,4.15,4.27,4,3.98,
CT031_B,21.02,92.22,5.72,5.12,5.81,6.17,
CT036_B,22.69,91.61,2.72,3.45,3.5,,
CT039_B,22.76,91.71,7.3,7.36,7.61,7.01,
DH001_B,23.63,90.28,2.09,3,2.88,2.97,3.66
